name,market,lat,lon,status,mw,operator,developer,funding_type,funding_detail,tenant,announced_year,target_online,notes,source_url,confidence
"Microsoft Mt. Pleasant (Fairwater) AI campus",Chicago,42.7261,-87.9023,under_construction,1000,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($3.3B + $4B + ~$13.3B proposed expansion)",Microsoft,2023,2026,"~555 MW operational + 337.6 MW UC; campus could grow to 2-3 GW with proposed 15 new buildings",https://www.datacenterdynamics.com/en/news/microsoft-given-greenlight-for-15-more-data-center-buildings-in-mount-pleasant-wisconsin/,high
"Microsoft Boydton VA campus",Northern Virginia,36.6648,-78.3892,built,640,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($2B+ invested)",Microsoft,2010,2014,"Multi-phase 1.1M sqft cluster; ~250 MW per individual building x multiple phases",https://interconnection.fyi/,medium
"Microsoft West Des Moines",Des Moines,41.5868,-93.6250,built,300,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($3-5B Iowa cluster)",Microsoft,2008,2011,"Three operational campuses; Project Ginger E/W each ~1.8M sqft; total cluster MW not officially disclosed",https://news.microsoft.com/source/,medium
"Microsoft Cheyenne",Cheyenne,41.1400,-104.8202,under_construction,250,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet",Microsoft,2022,2026,"~106 MW interconnection record; new 3,200-acre site announced April 2026 will materially expand",https://news.microsoft.com/source/features/sustainability/microsoft-announces-new-data-center-region-in-cheyenne-wyoming/,medium
"Meta Richland Parish (Hyperion) Louisiana AI campus",Memphis,32.4068,-91.7920,under_construction,2000,Meta,Meta,hyperscaler,"Meta balance sheet ($10B+ committed)",Meta,2024,2028,"Phase 1 online 2028; >2 GW by 2030; up to 5 GW long-term ceiling on 2,250 acres / 4M sqft",https://datacenters.atmeta.com/richland-parish-data-center/,high
"Meta Temple Texas",Dallas-Fort Worth,31.0982,-97.3428,built,152,Meta,Meta,hyperscaler,"Meta balance sheet ($800M)",Meta,2021,2024,"3-building campus / 750k sqft",https://www.prnewswire.com/news-releases/meta-celebrates-temple-data-center-opening-302009345.html,high
"Meta Eagle Mountain Utah",Salt Lake City,40.3158,-112.0114,built,300,Meta,Meta,hyperscaler,"Meta balance sheet",Meta,2018,2022,"7 buildings / 4.5M sqft; current expansion phase ~300 MW; total campus MW not publicly disclosed",https://datacenters.atmeta.com/eagle-mountain-data-center/,low
"Meta Kuna Idaho",Boise,43.4915,-116.4202,under_construction,300,Meta,Meta,hyperscaler,"Meta balance sheet ($800M)",Meta,2023,2026,"960k sqft; Meta minimum power filing 20 MW (likely understated); typical Meta hall 75-150 MW x multiple",https://commerce.idaho.gov/press-releases/meta-announces-kuna-as-location-of-new-data-center/,low
"AWS Loudoun cluster (US-East-1)",Northern Virginia,39.0438,-77.4874,built,1500,Amazon,Amazon,hyperscaler,"Amazon balance sheet ($35B+ invested)",Amazon,2006,2024,"~1.5 GW IT load operational across 50+ facilities at 14 sites; largest US-East-1 region",https://www.datacenterfrontier.com/cloud/article/11430945/amazon-approaches-1-gigawatt-of-cloud-capacity-in-virginia,high
"AWS New Albany Ohio",Columbus,40.0807,-82.7993,built,500,Amazon,Amazon,hyperscaler,"Amazon balance sheet ($23.8B Ohio commitment)",Amazon,2020,2026,"500 MW IT capacity (us-east-2 AI campus); 5 buildings / 1.25M sqft",https://www.datacenterfrontier.com/site-selection/article/33011941/aws-readies-35b-for-5-more-ohio-data-centers-in-booming-columbus-suburb-new-albany,high
"Google Council Bluffs Iowa",Omaha-Council Bluffs,41.2598,-95.8517,built,407,Google,Google,hyperscaler,"Alphabet balance sheet ($7B+ Iowa)",Google,2007,2024,"~407 MW power consumption per Google disclosures; one of Google's largest US sites",https://datacenters.google/council-bluffs/,high
