entry_id,lender,lender_type,borrower,borrower_type,deal_type,commitment_usd_m,outstanding_usd_m,coupon,maturity_year,collateral,source_tier,source_url,confidence,notes
kkr_gip_cyrusone_2022_acquisition_debt,"KKR + Global Infrastructure Partners",pe_infra,CyrusOne,operator,acquisition_financing,11500,11500,n/a,2027,Take-private debt at the parent level,curated,https://www.kkr.com/news/details/kkr-and-global-infrastructure-partners-complete-acquisition-of-cyrusone,medium,"$15B take-private March 2022; equity + debt mix; ~$11.5B debt component per trade press"
blackstone_cpp_qts_2021_acquisition_debt,"Blackstone Infrastructure + CPP Investments",pe_infra,QTS Realty,operator,acquisition_financing,5000,5000,n/a,2026,Take-private at parent level,curated,https://www.blackstone.com/news/press/blackstone-infrastructure-partners-blackstone-real-estate-income-trust-and-blackstone-property-partners-life-sciences-complete-acquisition-of-qts-realty-trust/,medium,"$10B take-private Aug 2021; later refinanced via SASB CMBS (BX 2023-VLT2, BX 2025-VLT6, $3.5B QTS refi 2025)"
digitalbridge_ifm_switch_2022_acquisition_debt,"DigitalBridge + IFM Investors",pe_infra,Switch Inc,operator,acquisition_financing,5500,5500,n/a,2027,Take-private at parent level,curated,https://www.switch.com/digitalbridge-and-ifm-complete-acquisition-of-switch/,medium,"$11B take-private Dec 2022; later partially refinanced via Switch ABS issuer 2024-2025"
blue_owl_crusoe_stargate_term_loan_2024,Blue Owl Capital + Primary Digital Infrastructure JV,private_credit,Crusoe Energy,operator,term_loan,11600,7100,n/a,2039,Stargate Abilene 1.2 GW campus,curated,https://www.crusoe.ai/resources/newsroom/crusoe-blue-owl-capital-and-primary-digital-infrastructure-enter-joint-venture,high,"$15B JV; $7.1B Stargate Phase 1 construction loan + $11.6B total debt+equity; not a public ABS"
stonepeak_cologix_acquisition_2017,Stonepeak Infrastructure,pe_infra,Cologix,operator,acquisition_equity,1500,0,n/a,n/a,17-DC NA portfolio,curated,https://www.stonepeak.com/news-and-insights/stonepeak-completes-acquisition-of-cologix,low,"Equity recap 2017; sized at ~$1.5B per trade press; subsequently ABS-refinanced (Cologix 2021-1)"
ipi_blue_owl_stack_recap_2023,IPI Partners / Blue Owl,pe_infra,Stack Infrastructure,operator,equity_recap,2800,0,n/a,n/a,Stack platform 50+ DCs,curated,https://www.bisnow.com/national/news/data-center/blue-owl-ipi-stack-recapitalization-2023,low,"Reported ~$2.8B equity recap; debt at platform level via Stack ABS issuer"
ipi_quinbrook_t5,IPI Partners + Quinbrook,pe_infra,T5 Data Centers,operator,equity,800,0,n/a,n/a,T5 hyperscale and enterprise DCs,curated,https://www.t5datacenters.com/news/,low,"IPI investment; sizing approximate"
eqt_edgeconnex_2020,EQT Infrastructure IV,pe_infra,EdgeConneX,operator,acquisition_equity,2500,0,n/a,n/a,EdgeConneX platform,curated,https://eqtgroup.com/news/2020/eqt-acquires-edgeconnex/,medium,"EQT acquisition 2020; sized ~$2.5B per trade press"
brookfield_compass_datacenters,Brookfield Infrastructure + Ontario Teachers',pe_infra,Compass Datacenters,operator,equity_majority,5500,0,n/a,n/a,Compass platform including Red Oak TX,curated,https://www.brookfield.com/news-insights/press-releases,low,"Joint ownership; later partial ABS refinancing (Compass 2025 $326M + $830M)"
apollo_us_signal_2024,Apollo Global Management + Igneo,pe_infra,US Signal,operator,acquisition_equity,500,0,n/a,n/a,US Signal Midwest DCs and fiber,curated,https://www.apollo.com/news-and-insights/press-releases,low,"Apollo-Igneo joint investment; sizing approximate"
macquarie_aligned,Macquarie Infrastructure Partners V,pe_infra,Aligned Data Centers,operator,equity_majority,2000,0,n/a,n/a,Aligned platform,curated,https://www.macquarie.com/au/en/about/news,low,"Macquarie controlling stake since 2018; Aligned now being acquired by BlackRock+MGX+AI Infrastructure Partnership for ~$40B (Oct 2025)"
blackrock_mgx_aligned_2025,BlackRock + MGX + AI Infrastructure Partnership,pe_infra,Aligned Data Centers,operator,acquisition_equity,40000,0,n/a,2030,Aligned NA platform,curated,https://www.blackrock.com/corporate/newsroom,medium,"$40B announced acquisition Oct 2025 — largest-ever DC platform take-private"
kkr_ontario_prime_dc,KKR + Ontario Teachers' Pension Plan,pe_infra,Prime Data Centers,operator,equity_majority,1500,0,n/a,n/a,Prime DCs in Reno NV / Northern Virginia / Phoenix,curated,https://www.kkr.com/news/details,low,"KKR + OTPP majority stake; sizing approximate"
digitalbridge_silver_lake_vantage,DigitalBridge + Silver Lake + Public Sector Pension,pe_infra,Vantage Data Centers,operator,equity_majority,3500,0,n/a,n/a,Vantage NA + EMEA + APAC platforms,curated,https://www.digitalbridge.com/news,medium,"Long-running joint investment; parallel ABS issuance via Vantage Issuer master trust"
